file,panel_id,step,node,technique,delivery,expected_support,layer_decision,layer_why,split_method,split_ok,n_regions,masked_fraction,ocr_tokens,caption_span
images/F2c.png,10.1021/acs.nanolett.6b04294#F2c,1,a2,ECHEM:GCD,oracle,partial,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,3,0.1894,29,Discharge/charge curves and
images/F4b.png,10.1021/acs.nanolett.6b04294#F4b,2,o16,XRD:synchrotron,crop,shown,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,35,0.4495,16,Na/PCO cell
images/F5d.png,10.1021/acs.nanolett.6b04294#F5d,3,o19,XAS:XANES,crop,shown,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,11,0.3014,34,typical XANES spectrum at different charge/discharge states of Na/PCO cell
images/F5a.png,10.1021/acs.nanolett.6b04294#F5a,4,o20,XAS:XANES,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,24,,26,2D contour plot of in operando XANES data along with its discharge/charge curves at 0.2C and
images/F5c.png,10.1021/acs.nanolett.6b04294#F5c,4,o20,XAS:XANES,crop,shown,as_is,"only OCR text boxes could be found, and hiding words while arrows or marks remain is forbidden; panel handed over whole and declared",ocr_boxes,True,28,,28,2D contour plot of in operando XANES data along with its discharge/charge curves at 0.2\:C and
images/F5f.png,10.1021/acs.nanolett.6b04294#F5f,5,o22,XAS:EXAFS,crop,shown,hidden,"saturation split caught the whole layer; clean panel handed over, masked regions declared",saturation,True,78,0.2713,23,Na/PCO cell
