file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F5c.png,10.1016/j.actamat.2015.04.055#F5c,F5c,1,o8,APT:proximity,crop,shown,581,303,True,"a proximity histogram across these surfaces is shown. o phase shows little solubility for Mo, and a pile-up of Mo atoms occurs in the vicinity of the interface. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
images/F5c.png,10.1016/j.actamat.2015.04.055#F5c,F5c,2,o8b,APT:proximity,crop,shown,581,303,True,"a proximity histogram across these surfaces is shown. o phase shows little solubility for Mo, and a pile-up of Mo atoms occurs in the vicinity of the interface. (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
